RobustClassifier,legitimate_10000,fgsm?eps=0.1,bim
none,0.99429999999999996,0.94999999999999996,0.85999999999999999
FeatureSqueezing?squeezer=bit_depth_1,0.99329999999999996,1.0,1.0
